,page,country,article_quality_est,Population
7770,Johann Christian von Boyneburg,Germany,Stub,83300000.0
7771,Sigmund von Erlach,Switzerland,Stub,8634000.0
7772,Owen Lanyon,South Africa,Start,59628000.0
7773,Stanley Hall (politician),Canada,Stub,38190000.0
7774,Alleyne Walker,Grenada,Stub,113000.0
7775,Joseph Gilbert (politician),Grenada,Stub,113000.0
7776,Mihael Preiss,Carniolan,Stub,
7777,Pedro Juan Caballero (politician),Paraguay,C,7255000.0
7778,List of Albanian politicians,Albania,Stub,2838000.0
7779,George Dick (Governor of Bombay),United Kingdom,Stub,67160000.0
7780,Faridun Muhiddinov,Tajikistan,Stub,9429000.0
7781,Elhadj Oumar Traoré,Guinea,Stub,12560000.0
7782,Michel Akouloua,Gabon,Stub,2231000.0
7783,François-Gabriel D'Angeac,France,C,64940000.0
7784,Norodom Phurissara,Cambodia,Start,15497000.0
7785,Daran Kravanh,Cambodia,Stub,15497000.0
7786,Boniface Berthin Zakahely,Madagascar,Stub,27691000.0
7787,Fidson Mananjara,Madagascar,Stub,27691000.0
7788,Maolidy,Madagascar,Stub,27691000.0
7789,Jean de la Croix Ramambason,Madagascar,Stub,27691000.0
7790,Didier Léandre Tsiajotso,Madagascar,Stub,27691000.0
7791,Zafimiarina,Madagascar,Stub,27691000.0
7792,André Avison Tsitohery,Madagascar,Stub,27691000.0
7793,Christian Nestor Velo,Madagascar,Stub,27691000.0
7794,Marcel Velonirina,Madagascar,Stub,27691000.0
7795,Sisowath Monireth,Cambodia,Start,15497000.0
7796,Sisowath Youtevong,Cambodia,Stub,15497000.0
7797,Samuel Sipepa Nkomo,Zimbabwe,Stub,14863000.0
7798,Faber Chidarikire,Zimbabwe,Start,14863000.0
7799,Willard Chiwewe,Zimbabwe,Stub,14863000.0
7800,Martin Dinha,Zimbabwe,Stub,14863000.0
7801,Lealailepule Rimoni Aiafi,Samoan,Start,
7802,Alessandro Minuto-Rizzo,Italy,Stub,60296000.0
7803,Christine Dowiyogo,Nauru,Stub,11000.0
7804,James Thomas Hogan,New Zealand,Stub,4987000.0
7805,James Hegney,Australia,Start,25754000.0
7806,Frank Portelli,Malta,Stub,522000.0
7807,María Beatriz Nofal,Argentina,Start,45377000.0
7808,Bahri Oruçi,Kosovo,Stub,1791000.0
7809,Afif Ayyub,Lebanon,Stub,6825000.0
7810,Abdelhamid Temmar,Algeria,Stub,44357000.0
7811,Atunaisa Kaloumaira,Fiji,Stub,896000.0
7812,Isaia Gonewai,Fiji,Stub,896000.0
7813,Eminoni Ranacovu,Fiji,Stub,896000.0
7814,Matareti Sarasau,Fiji,Stub,896000.0
7815,Vicentinho Alves,Brazil,Stub,211812000.0
7816,Sérgio Petecão,Brazil,Stub,211812000.0
7817,Neudo Ribeiro Campos,Brazil,Stub,211812000.0
7818,Sarafa Tunji Ishola,Nigeria,Start,206140000.0
7819,Motti Malka,Israel,Stub,9216000.0
7820,John Mark Inienger,Nigeria,Start,206140000.0
7821,Samuel Genest,Canada,Start,38190000.0
7822,Abdul Hadi Arghandiwal,Afghanistan,Stub,38928000.0
7823,Herbert Ushewokunze,Zimbabwe,Stub,14863000.0
7824,Leticia Userralde,Mexico,Stub,127792000.0
7825,Henry Dorgères,France,Stub,64940000.0
7826,Xhezair Zaganjori,Albania,Start,2838000.0
7827,Alfio Piva,Costa Rica,Stub,5111000.0
7828,Luis Liberman,Costa Rica,Stub,5111000.0
7829,Marco Bertolotto,Italy,Start,60296000.0
7830,Nikola Lazarov,Bulgaria,B,6927000.0
7831,Jiao Li,China,Stub,1402385000.0
7832,Va'ai Papu Vailupe,Samoan,Start,
7833,Palusalue Fa’apo II,Samoan,Start,
7834,Tolofuaivalelei Falemoe Lei’ataua,Samoan,Start,
7835,A'eau Peniamina,Samoan,Start,
7836,Patu Ativalu,Samoan,Stub,
7837,Adamu Waziri,Nigeria,Start,206140000.0
7838,Abubakar Sadiq A. Mohammed,Nigeria,Stub,206140000.0
7839,Luis Revilla,Bolivia,Stub,11633000.0
7840,Pierre-Yves Monette,Belgium,Stub,11515000.0
7841,Zhang Lichang,China,Stub,1402385000.0
7842,Ou Chanrith,Cambodia,Stub,15497000.0
7843,Ali M. Hasanov,Azerbaijan,Start,10108000.0
7844,Arzu Rahimov,Azerbaijan,Start,10108000.0
7845,Paulo Bauer,Brazil,Stub,211812000.0
7846,Ram Sharan,Fiji,Stub,896000.0
7847,Indanan Kasim Daud,Philippines,Stub,109581000.0
7848,Uladislau Herculano de Freitas,Brazil,Stub,211812000.0
7849,Demetrio Cortes,Philippines,Stub,109581000.0
7850,Grigore Sturdza,Romania,Stub,19241000.0
7851,Ion Ionescu de la Brad,Romania,Start,19241000.0
7852,Kinuthia Murugu,Kenya,Start,53528000.0
7853,Viacheslav Suprunenko,Ukraine,Start,41778000.0
7854,Charles Antrobus,Saint Vincent and the Grenadines,Stub,
7855,Arturo Alessandri Besa,Chile,Stub,19470000.0
7856,Eduardo Suger,Guatemala,Stub,18066000.0
7857,Surawit Khonsomboon,Thailand,Start,66534000.0
7858,Clemens Kashuupulwa,Namibia,Stub,2541000.0
7859,Habib El Malki,Morocco,Stub,35952000.0
7860,Ohn Kyaing,Myanmar,Start,54704000.0
7861,Paw Khin,Myanmar,Stub,54704000.0
7862,Giovanni Battista Pioda,Switzerland,Stub,8634000.0
7863,Jean-Jacques Challet-Venel,Switzerland,Stub,8634000.0
7864,Victor Ruffy,Switzerland,Stub,8634000.0
7865,Fridolin Anderwert,Switzerland,Stub,8634000.0
7866,Wilhelm Hertenstein,Switzerland,Stub,8634000.0
7867,Musa Sirma,Kenya,Stub,53528000.0
7868,Josef Anton Schobinger,Switzerland,Stub,8634000.0
7869,Camille Decoppet,Switzerland,Stub,8634000.0
7870,Edmund Schulthess,Switzerland,Start,8634000.0
7871,Ernest Chuard,Switzerland,Stub,8634000.0
7872,Rudolf Minger,Switzerland,Stub,8634000.0
7873,Johannes Baumann,Switzerland,Stub,8634000.0
7874,Hermann Obrecht,Switzerland,Stub,8634000.0
7875,Ernst Wetter,Switzerland,Stub,8634000.0
7876,Ernst Nobs,Switzerland,Stub,8634000.0
7877,Rodolphe Rubattel,Switzerland,Stub,8634000.0
7878,Josef Escher,Switzerland,Stub,8634000.0
7879,Markus Feldmann,Switzerland,Stub,8634000.0
7880,Max Weber (Swiss politician),Switzerland,Stub,8634000.0
7881,Paul Chaudet,Switzerland,Stub,8634000.0
7882,Giuseppe Lepori,Switzerland,Stub,8634000.0
7883,Hans-Peter Tschudi,Switzerland,Start,8634000.0
7884,Rudolf Gnägi,Switzerland,Stub,8634000.0
7885,Nello Celio,Switzerland,Stub,8634000.0
7886,Ernst Brugger,Switzerland,Stub,8634000.0
7887,Fritz Honegger,Switzerland,Stub,8634000.0
7888,Arnold Koller,Switzerland,Stub,8634000.0
7889,Charles Estoppey,Switzerland,Stub,8634000.0
7890,Karl Hoffmann (Swiss politician),Switzerland,Stub,8634000.0
7891,Ibrahim Rafeeq,Maldives,Stub,541000.0
7892,Hem Bahadur Malla,Nepal,Stub,29996000.0
7893,Saifullah Yusuf,Indonesia,Stub,271739000.0
7894,Kailash Purryag,Mauritius,C,1265000.0
7895,Lélia Gonzalez,Brazil,Start,211812000.0
7896,Moijueh Kaikai,Sierra Leone,Start,7977000.0
7897,Queenster Maame Pokua Sawyerr,Ghana,Stub,31073000.0
7898,Fabio Gadea Mantilla,Nicaragua,Stub,6596000.0
7899,Leandro Arpinati,Italy,Start,60296000.0
7900,Ansumana Jaia Kaikai,Sierra Leone,Stub,7977000.0
7901,Dal Bahadur Sunar,Nepal,Stub,29996000.0
7902,Kripasur Sherpa,Nepal,Stub,29996000.0
7903,Marcos Zeida,Argentina,Stub,45377000.0
7904,Angus Macdonald (diplomat),Australia,Stub,25754000.0
7905,"Full Zionist Union list for Israeli legislative election, 2015",Israel,Start,9216000.0
7906,José Francisco Peña Guaba,Dominican Republic,Stub,10500000.0
7907,Yu Kil-chun,"Korea, South",Start,51781000.0
7908,Wayde Smith,Australia,Stub,25754000.0
7909,Zhang Lebin,China,Start,1402385000.0
7910,"Ali Şahin (politician, born 1934)",Turkey,Stub,83737000.0
7911,C. S. Ratnasabhapathy Mudaliar,India,Stub,1400100000.0
7912,Vissinto Ayi d'Almeida,Benin,Stub,12209000.0
7913,Željko Jerkić,Bosnia-Herzegovina,Start,3281000.0
7914,Denis Gem Shepstone,South Africa,Stub,59628000.0
7915,Robin Carlisle,South Africa,Stub,59628000.0
7916,Petronella Duncan,South Africa,Stub,59628000.0
7917,Emmah More,South Africa,Stub,59628000.0
7918,Hector Hatch,Fiji,Stub,896000.0
7919,Luis Alayza y Paz Soldán,Peru,Stub,32824000.0
7920,Jacqueline Guerroudj,France,Stub,64940000.0
7921,Abdul Hafiz Mansoor,Afghanistan,Stub,38928000.0
7922,Belisario Porras Barahona,Panama,Start,4283000.0
7923,Carmel Eliash,Israel,Stub,9216000.0
7924,Mosibudi Mangena,South Africa,Start,59628000.0
7925,Trương Đình Dzu,Vietnam,C,96209000.0
7926,Ján Počiatek,Slovakia,Stub,5462000.0
7927,Ľubomír Jahnátek,Slovakia,Stub,5462000.0
7928,Martin Glváč,Slovakia,Stub,5462000.0
7929,Dany Vandenbossche,Belgium,Stub,11515000.0
7930,Office-holders of the United States,United States,Start,329878000.0
7931,Benita Ferrero-Waldner,Austria,Start,8914000.0
7932,Sam Mézec,United Kingdom,Stub,67160000.0
7933,Amir Kahar,Malaysia,Stub,32781000.0
7934,Jacques-Alexis Thuriot de la Rosière,France,Start,64940000.0
7935,Oliver Wehner,Germany,Start,83300000.0
7936,Dawn Lawrie,Australia,Stub,25754000.0
7937,Kamen Ringu,India,Stub,1400100000.0
7938,François-Pierre Blin,France,Stub,64940000.0
7939,Nicolae Tăbăcaru,Moldova,Stub,3535000.0
7940,Gherasim Rudi,Moldova,Stub,3535000.0
7941,Octavian Bodișteanu,Moldova,Stub,3535000.0
7942,Eugen Carpov,Moldova,Stub,3535000.0
7943,Nicolae Coval,Moldova,Stub,3535000.0
7944,V. R. Ramanatha Iyer,India,Stub,1400100000.0
7945,Miroslav Naydenov,Bulgaria,Start,6927000.0
7946,Étienne-Laurent-Pierre Burnel,France,Start,64940000.0
7947,Juan de los Santos Madriz y Cervantes,Costa Rica,Stub,5111000.0
7948,Hideto Ōnishi,Japan,Stub,125967000.0
7949,Keizō Hamada,Japan,Stub,125967000.0
7950,Todor Tanev,Bulgaria,Stub,6927000.0
7951,Narciso García-Loygorri,Spain,Stub,47635000.0
7952,Enrique Berruga,Mexico,Stub,127792000.0
7953,Luis Anderson McNeil,Panama,Start,4283000.0
7954,Robert Booth (Australian politician),Australia,Stub,25754000.0
7955,Andrea Ruiz,Argentina,Stub,45377000.0
7956,Abu Zakaria al-Jamal,Palestinian Territory,Stub,5008000.0
7957,Artiguism,Uruguay,Start,3531000.0
7958,Séraphin Moundounga,Gabon,Start,2231000.0
7959,David Berger (Canadian politician),Canada,Start,38190000.0
7960,David Rotenberg,Canada,C,38190000.0
7961,Gaspar de Borja y Velasco,Spain,C,47635000.0
7962,Georg Voigt (politician),Germany,Start,83300000.0
7963,Giovanni Maria Flick,Italy,Start,60296000.0
7964,Aliyu Obaje,Nigeria,Stub,206140000.0
7965,"Liz Redfern, Baroness Redfern",United Kingdom,Stub,67160000.0
7966,Juan Andrés Ramírez,Uruguay,Start,3531000.0
7967,Nik Welter,Luxembourg,Start,632000.0
7968,Fernando de Melo Viana,Brazil,Stub,211812000.0
7969,Sergio Onofre Jarpa,Chile,Start,19470000.0
7970,Nezha Chekrouni,Morocco,Stub,35952000.0
7971,Ahmed Warsame,Somalia,Stub,15893000.0
7972,List of Gambian politicians,Gambia,Stub,2417000.0
7973,Bernard Berg,Luxembourg,Stub,632000.0
7974,John Shaw Rennie,Mauritius,Stub,1265000.0
7975,Elias Saba,Lebanon,Stub,6825000.0
7976,Faraj Said Bin Ghanem,Yemen,Stub,29826000.0
7977,Fernand David,France,Stub,64940000.0
7978,Henry William Worley,United States,Stub,329878000.0
7979,Jim Higgins (British politician),United Kingdom,Start,67160000.0
7980,Abdelhafid Boussouf,Algeria,Stub,44357000.0
7981,Aubrey Senior,Canada,Stub,38190000.0
7982,L. A. Fabunmi,Nigeria,Stub,206140000.0
7983,Manya Shochat,Israel,C,9216000.0
7984,Mardiyanto,Indonesia,Stub,271739000.0
7985,Masa Nakayama,Japan,Start,125967000.0
7986,Neil Fraser (civil servant),Canada,Stub,38190000.0
7987,Nikolaus Krell,Germany,Start,83300000.0
7988,Nima-odsor,China,Start,1402385000.0
7989,Qian Xinzhong,China,Start,1402385000.0
7990,Vladan Vasilijević,Serbia,Stub,6957000.0
7991,Mohamed Wurie Jalloh,Sierra Leone,Stub,7977000.0
7992,Vasili Stepanovich Popov,Russia,Stub,146733000.0
7993,Kunio Lemari,Marshall Islands,Stub,57000.0
7994,Takashi Miyahara,Nepal,Stub,29996000.0
7995,Rolandas Paulauskas,Lithuania,Stub,2794000.0
7996,William Harvie Christie,Australia,Stub,25754000.0
7997,Mustafa al-Khalidi,Palestinian Territory,Stub,5008000.0
7998,Augusto Dos Santos,Paraguay,Stub,7255000.0
7999,Cathlene Labuschagne,South Africa,Stub,59628000.0
8000,Bartolome de Osuna,Spain,Stub,47635000.0
8001,Juan del Granado,Bolivia,Start,11633000.0
8002,Kiko Argüello,Spain,C,47635000.0
8003,Dennis Stevenson,Australia,Start,25754000.0
8004,Ernesto Madero,Mexico,Stub,127792000.0
8005,Waldir Pires,Brazil,Stub,211812000.0
8006,Henry Conway Belfield,Kenya,Stub,53528000.0
8007,José Woldenberg,Mexico,Start,127792000.0
8008,Julio Rodolfo Moctezuma,Mexico,Stub,127792000.0
8009,Vinayak Sitaram Sarwate,India,Stub,1400100000.0
8010,Augusto Martínez Sánchez,Cuba,Stub,11281000.0
8011,Bernhard Eriksson,Sweden,Stub,10377000.0
8012,Quinton Scerri,Malta,Start,522000.0
8013,Marcus Rex,Malaysia,Stub,32781000.0
8014,Alexander Spitzmüller,Austria,Stub,8914000.0
8015,Diego de Egües y Beaumont,Spain,Start,47635000.0
8016,Hazel Poa,Singapore,C,5769000.0
8017,Chris Wang,South Africa,Stub,59628000.0
8018,Fayez Tarawneh,Jordan,Start,10679000.0
8019,Murshed Al-Arashani,Yemen,Stub,29826000.0
8020,Abderrachid Boukerzaza,Algeria,Stub,44357000.0
8021,Võ Tánh,Vietnam,C,96209000.0
8022,Ebrahim Daoud Nonoo,Bahrain,Stub,1465000.0
8023,John Gavan Duffy,Australia,Stub,25754000.0
8024,Sua Sulu'ape Paulo II,Samoan,C,
8025,Dobrica Matković,Serbia,Stub,6957000.0
8026,Alfred Ernest Trollip,South Africa,Stub,59628000.0
8027,Rick Setter,Australia,Stub,25754000.0
8028,Paulina Gamus,Venezuela,Stub,28645000.0
8029,Maurice Motamed,Iran,Start,84150000.0
8030,Hannibal Valdimarsson,Iceland,Stub,368000.0
8031,Hafız Mehmet,Turkey,C,83737000.0
8032,Anca Petrescu,Romania,Stub,19241000.0
8033,Howar Ziad,Iraq,Stub,39725000.0
8034,Ramón Rubial,Spain,Stub,47635000.0
8035,Víctor Lecumberri,Spain,Stub,47635000.0
8036,Lionel Agbo,Benin,Stub,12209000.0
8037,Santiago Brouard,Spain,C,47635000.0
8038,Andoni Ortuzar,Spain,Stub,47635000.0
8039,Thomas McKay (Northwest Territories politician),Canada,Start,38190000.0
8040,José Luis de Arrese,Spain,B,47635000.0
8041,Ibon Areso,Spain,Stub,47635000.0
8042,Iñaki Antigüedad,Spain,Stub,47635000.0
8043,Alberto Alcocer y Ribacoba,Spain,Stub,47635000.0
8044,Peter Fraser (Northwest Territories politician),Canada,Stub,38190000.0
8045,André Berthelot,France,Stub,64940000.0
8046,Paul Christian Frank,Norway,Start,5387000.0
8047,Karl Offmann,Mauritius,C,1265000.0
8048,Nuri Sheikh Salih Sheikh Ghani Barzinji,Iraq,Start,39725000.0
8049,Aryeh Gur'el,Israel,Stub,9216000.0
8050,Muhammad Kader Hawdeyani,Iraq,Stub,39725000.0
8051,Mustafa Yamulki,Turkey,Start,83737000.0
8052,Nicolas du Bosc,France,Start,64940000.0
8053,R. K. Trivedi,India,Stub,1400100000.0
8054,Prabhudutt Brahmachari,India,Stub,1400100000.0
8055,Tigran Bekzadyan,Armenia,Stub,2956000.0
8056,Connétable (Jersey and Guernsey),Jersey,Start,
8057,Bahnam Zaya Bulos,Iraq,Stub,39725000.0
8058,My Life (Oswald Mosley autobiography),United Kingdom,Start,67160000.0
8059,Ruy de Sosa,Spain,Stub,47635000.0
8060,Christina of Holstein-Gottorp,Sweden,C,10377000.0
8061,Timoci Natuva,Fiji,Start,896000.0
8062,Howard Politini Jnr,Fiji,Stub,896000.0
8063,Roberto Herrera Ibarguen,Guatemala,Stub,18066000.0
8064,Rod Eley,Ireland,Stub,5003000.0
8065,Rosemary Varty,Australia,Start,25754000.0
8066,Rosny Smarth,Haiti,Stub,11403000.0
8067,Mustafa Aberchán,Spain,Stub,47635000.0
8068,Mohand Laenser,Morocco,Stub,35952000.0
8069,Sardar Ridha Singh,India,Stub,1400100000.0
8070,Bartosz Arłukowicz,Poland,Start,38368000.0
8071,Peithias,Greece,Stub,10700000.0
8072,Matti Morottaja,Finland,Start,5529000.0
8073,Isak Saba,Norway,Stub,5387000.0
8074,Pekka Aikio,Finland,Stub,5529000.0
8075,Berit Oskal Eira,Norway,Stub,5387000.0
8076,Per Fokstad,Norway,Start,5387000.0
8077,Reidar Hirsti,Norway,Start,5387000.0
8078,Raimo Valle,Norway,Stub,5387000.0
8079,Steinar Pedersen (politician),Norway,Stub,5387000.0
8080,Hans Guttorm,Norway,Stub,5387000.0
8081,Johan Mikkel Sara,Norway,Stub,5387000.0
8082,Ole K. Sara,Norway,Stub,5387000.0
8083,Inger Smuk,Norway,Stub,5387000.0
8084,Alimuddin Daeng Matiro,Indonesia,Stub,271739000.0
8085,Abdul Latif Daeng Masikki,Indonesia,Stub,271739000.0
8086,Motleb bin Abdullah Al-Nafisah,Saudi Arabia,Stub,35041000.0
8087,Mohammed Suroor Sabban,Saudi Arabia,Stub,35041000.0
8088,S. Kabo,Indonesia,Stub,271739000.0
8089,Martín Echegoyen,Uruguay,Stub,3531000.0
8090,Council of Ministers (Burundi),Burundi,Start,11866000.0
8091,Temi Ejoor,Nigeria,Stub,206140000.0
8092,Carlos Ezeta,El Salvador,Stub,6481000.0
8093,Suksaha,China,Start,1402385000.0
8094,Syed Hussain Bilgrami,India,Start,1400100000.0
8095,Najah Wakim,Lebanon,Start,6825000.0
8096,Diaa al-Din Dawoud,Egypt,B,100803000.0
8097,Mohamed Messaoud Chebbi,Tunisia,Stub,11896000.0
8098,Samir Ghawshah,Palestinian Territory,Start,5008000.0
8099,Adnan al-Hakim,Lebanon,Stub,6825000.0
8100,'Abd al-Razzaq al-Hasani,Iraq,Start,39725000.0
8101,Hugo Jury,Austria,Stub,8914000.0
8102,Friedrich Hillegeist,Austria,Stub,8914000.0
8103,Ram Sathe,India,Stub,1400100000.0
8104,Meta Vannas,Russia,Stub,146733000.0
8105,Ron Ghitter,Canada,Start,38190000.0
8106,Linh Quang Viên,Vietnam,Start,96209000.0
8107,Sheikh Mohamad Osseiran,Lebanon,Start,6825000.0
8108,Fotis Perlikos,Greece,Start,10700000.0
8109,Vaino Väljas,Estonia,Stub,1331000.0
8110,Adolphe Deitte,France,Stub,64940000.0
8111,Daham Miro,Syria,Stub,19398000.0
8112,Carmen Cardinali Paoa,Chile,Start,19470000.0
8113,Renzo Bossi,Italy,Start,60296000.0
8114,Ngitung,Indonesia,Stub,271739000.0
8115,Abbo Nassour,Chad,C,16877000.0
8116,Abel Thauley-Ganga,Congo,Stub,5518000.0
8117,Awni Yusuf,Iraq,Stub,39725000.0
8118,Joseph Lekuton,Kenya,Start,53528000.0
8119,Soe Maung,Myanmar,Stub,54704000.0
8120,Céline Yandza,Congo,Stub,5518000.0
8121,Thomas Wallgren,Finland,Start,5529000.0
8122,António Borges,Portugal,Start,10255000.0
8123,Olivia Wigzell,Sweden,Start,10377000.0
8124,Mahmud ibn Muhammad,Tunisia,Stub,11896000.0
8125,Mustafa ibn Mahmud,Tunisia,Stub,11896000.0
8126,Ekuikui IV,Angola,Stub,32522000.0
8127,Lydia Kompe,South Africa,Start,59628000.0
8128,Bertha Gxowa,South Africa,Start,59628000.0
8129,Helen Lamoela,South Africa,Stub,59628000.0
8130,Hans Gispen,Netherlands,Stub,17467000.0
8131,Erna Mundal Pedersen,Norway,Stub,5387000.0
8132,Urania Mella Serrano,Spain,Stub,47635000.0
8133,Ñuflo Chávez Ortiz,Bolivia,Start,11633000.0
8134,Celso Torrelio,Bolivia,Start,11633000.0
8135,Hussein Ali Duale,Somalia,Start,15893000.0
8136,Mohammad Daud Sultanzoy,Afghanistan,Start,38928000.0
8137,Franklin Siakor,Liberia,Stub,5058000.0
8138,Gaganvihari Lallubhai Mehta,India,Stub,1400100000.0
8139,Solfrid Nilsen,Norway,Stub,5387000.0
8140,Arthur Dunkel,Switzerland,Stub,8634000.0
8141,Franciszek Bujak,Poland,Start,38368000.0
8142,Tomáš Eduard Šilinger,Czech Republic,Stub,
8143,Ricardo Alfonsín,Argentina,Start,45377000.0
8144,Antonio Beretta,Italy,Stub,60296000.0
8145,Hans Hirschfeld,Netherlands,Stub,17467000.0
8146,Louis Henri de Gueydon,Martinique,Start,356000.0
8147,Alberic II of Spoleto,Italy,Stub,60296000.0
8148,Étienne de La Grange,France,Stub,64940000.0
8149,Yem Ponhearith,Cambodia,Stub,15497000.0
8150,Latifa Akherbach,Morocco,Stub,35952000.0
8151,Jean Herly,Monaco,Start,38000.0
8152,U Razak,Myanmar,Start,54704000.0
8153,Wakoli Bifwoli,Kenya,Stub,53528000.0
8154,Choida Jamtsho,Bhutan,Stub,730000.0
8155,Dupthob,Bhutan,Stub,730000.0
8156,Wangdi Norbu,Bhutan,Stub,730000.0
8157,Rinzin Jamtsho,Bhutan,Stub,730000.0
8158,Jigme Wangchuk,Bhutan,Stub,730000.0
8159,Karma Rangdol,Bhutan,Stub,730000.0
8160,Dechen Zangmo,Bhutan,Stub,730000.0
8161,Karel Lavrič,Carniolan,C,
8162,Petr Janyška,Czech Republic,Stub,
8163,Ferdinand Poni,Albania,Stub,2838000.0
8164,Théodore Holo,Benin,Stub,12209000.0
8165,Rafael Castillo Valdez,Guatemala,Stub,18066000.0
8166,Robert Dossou,Benin,Stub,12209000.0
8167,Michel Alladaye,Benin,Stub,12209000.0
8168,Josy Barthel,Luxembourg,Start,632000.0
8169,Albert Bousser,Luxembourg,Stub,632000.0
8170,René Konen,Luxembourg,Stub,632000.0
8171,Paul-Henri Meyers,Luxembourg,Start,632000.0
8172,Étienne Schmit,Luxembourg,Stub,632000.0
8173,Jean-Baptiste Thorn,Luxembourg,Stub,632000.0
8174,Dominique Brasseur,Luxembourg,Start,632000.0
8175,Émile Hamilius,Luxembourg,Stub,632000.0
8176,Léandre Lacroix,Luxembourg,Stub,632000.0
8177,Alphonse Munchen,Luxembourg,Stub,632000.0
8178,Willy Bourg,Luxembourg,Start,632000.0
8179,Robert Brasseur,Luxembourg,Start,632000.0
8180,Xavier Brasseur,Luxembourg,Start,632000.0
8181,Gaston Diderich,Luxembourg,Stub,632000.0
8182,Lucien Dury,Luxembourg,Stub,632000.0
8183,Paul Elvinger,Luxembourg,Stub,632000.0
8184,Marcel Fischbach,Luxembourg,Stub,632000.0
8185,Jean-Marie Halsdorf,Luxembourg,Start,632000.0
8186,Luc Housse,Luxembourg,Stub,632000.0
8187,Léon Kauffman,Luxembourg,Start,632000.0
8188,Antoine Krier,Luxembourg,Stub,632000.0
8189,Pierre Krier,Luxembourg,Stub,632000.0
8190,Auguste Laval,Luxembourg,Start,632000.0
8191,Norbert Metz,Luxembourg,Start,632000.0
8192,Laurent Mosar,Luxembourg,Start,632000.0
8193,Émile Mousel,Luxembourg,Stub,632000.0
8194,Guy de Muyser,Luxembourg,Stub,632000.0
8195,Lambert Schaus,Luxembourg,Start,632000.0
8196,Jean-Louis Schiltz,Luxembourg,Stub,632000.0
8197,Charles Simonis,Luxembourg,Stub,632000.0
8198,Antoine Wehenkel,Luxembourg,Stub,632000.0
8199,Matthew Box,United States,Stub,329878000.0
8200,Anthonie Duyck,Netherlands,Start,17467000.0
8201,Ernest Woodhead,United Kingdom,Start,67160000.0
8202,Carl Persson,Sweden,Stub,10377000.0
8203,Stanislav Stanilov,Bulgaria,Stub,6927000.0
8204,Dritan Abazović,Montenegro,Start,622000.0
8205,Arkangelo Bari Wanji,South Sudan,Stub,11194000.0
8206,Yasin Haji Osman Sharmarke,Somalia,Stub,15893000.0
8207,Teddy Baguilat,Philippines,Stub,109581000.0
8208,Georg von Siemens,Germany,Start,83300000.0
8209,Chrea Sochenda,Cambodia,Stub,15497000.0
8210,Michel Ahouanmenou,Benin,Stub,12209000.0
8211,Aung Zan Wai,Myanmar,Start,54704000.0
8212,João de Alpoim,Portugal,Stub,10255000.0
8213,Luis de Alpoim,Portugal,Start,10255000.0
8214,Vong Kan,Cambodia,Stub,15497000.0
8215,Vital Soares,Brazil,Stub,211812000.0
8216,René Hérault,France,B,64940000.0
8217,George Davenport (Queensland politician),Australia,Start,25754000.0
8218,Antoni Siurana,Spain,Stub,47635000.0
8219,Yos Son,Cambodia,Stub,15497000.0
8220,Della Sowah,Ghana,Stub,31073000.0
8221,Poul Nielson,Denmark,Stub,5829000.0
8222,Phares Oluoch Kanindo,Kenya,Start,53528000.0
8223,Samson Wertheimer,Hungary,C,9767000.0
8224,John Yakubu,Nigeria,Stub,206140000.0
8225,Felipe Carrillo Puerto,Mexico,C,127792000.0
8226,Edward Kern (police officer),United States,C,329878000.0
8227,Samson Harutyunyan,Armenia,Stub,2956000.0
8228,Frank Jensen,Denmark,Start,5829000.0
8229,Saula Telawa,Fiji,Start,896000.0
8230,Georges Yhambot,Congo,Stub,5518000.0
8231,Borislav Paravac,Bosnia-Herzegovina,Stub,3281000.0
8232,Gunnar Martens,Greenlandic,Stub,
8233,Guno Castelen,Suriname,Stub,605000.0
8234,Hassan Qraytim,Lebanon,Stub,6825000.0
8235,Leader of the Opposition (Greece),Greece,Start,10700000.0
8236,Hervé de Lyrot,France,Start,64940000.0
8237,Herwart von Hohenburg,Germany,Start,83300000.0
8238,Hilaire Babassana,Congo,Stub,5518000.0
8239,Peter White (1824–1901),Australia,Stub,25754000.0
8240,Anton Roberto,Spain,Stub,47635000.0
8241,Ray McPharlin,Australia,Stub,25754000.0
8242,Naoki Tanaka,Japan,Stub,125967000.0
8243,Abdel Kader Baba-Laddé,Chad,Stub,16877000.0
8244,Abdel Latif El Zein,Lebanon,Stub,6825000.0
8245,Abdeladim El Guerrouj,Morocco,Stub,35952000.0
8246,Abdessadek Rabiaa,Morocco,Stub,35952000.0
8247,Abdirizak Ibrahim Mohamed Attash,Somalia,Stub,15893000.0
8248,Abdul Aziz Bin Abdullah Al Zamil,Saudi Arabia,GA,35041000.0
8249,Abdul Qayum Wardak,Afghanistan,Stub,38928000.0
8250,Yuan Hong (Jin dynasty),China,Stub,1402385000.0
8251,Abdul Rasheed Hussain,Maldives,Stub,541000.0
8252,Kamil Iskhakov,Russia,Start,146733000.0
8253,Sergei Kukharenko,Russia,Start,146733000.0
8254,Abdullah Khan Tarzi,Afghanistan,Start,38928000.0
8255,Abdullah Mwinyi,Tanzania,Stub,59734000.0
8256,Boniface S. Emerengwa,Nigeria,Stub,206140000.0
8257,Miguel Cocco,Dominican Republic,Stub,10500000.0
8258,Andrés Ignacio Menéndez,El Salvador,Stub,6481000.0
8259,Zhang Deguang,China,Start,1402385000.0
